Restaurant,Link
Itto’s Tapas,https://www.yelp.com/biz/ittos-tapas-seattle?osq=Restaurants
kiin kiin,https://www.yelp.com/biz/kiin-kiin-seattle?osq=Restaurants
Island Soul Restaurant,https://www.yelp.com/biz/island-soul-restaurant-seattle-2?osq=Restaurants
Joule,https://www.yelp.com/biz/joule-seattle?osq=Restaurants
Morsel,https://www.yelp.com/biz/morsel-seattle?osq=Restaurants
Kona Kitchen,https://www.yelp.com/biz/kona-kitchen-seattle?osq=Restaurants
FOB Poke Bar,https://www.yelp.com/biz/fob-poke-bar-seattle-2?osq=Restaurants
Barbecue Smith,https://www.yelp.com/biz/barbecue-smith-seattle?osq=Restaurants
Metropolitan Grill,https://www.yelp.com/biz/metropolitan-grill-seattle?osq=Restaurants
Mike’s Noodle House,https://www.yelp.com/biz/mikes-noodle-house-seattle?osq=Restaurants
Ma’ono,https://www.yelp.com/biz/maono-seattle?osq=Restaurants
Art of The Table,https://www.yelp.com/biz/art-of-the-table-seattle?osq=Restaurants
Six Seven,https://www.yelp.com/biz/six-seven-restaurant-and-lounge-seattle-2?osq=Restaurants
8oz Burger & Co,https://www.yelp.com/biz/8oz-burger-and-co-seattle?osq=Restaurants
Skillet Capitol Hill,https://www.yelp.com/biz/skillet-capitol-hill-seattle-2?osq=Restaurants
Dough Zone Dumpling House,https://www.yelp.com/biz/dough-zone-dumpling-house-seattle-2?osq=Restaurants
Phorale,https://www.yelp.com/biz/phorale-seattle?osq=Restaurants
Salty’s on Alki Beach,https://www.yelp.com/biz/saltys-on-alki-beach-seattle-5?osq=Restaurants
Von’s 1000 Spirits,https://www.yelp.com/biz/vons-1000-spirits-seattle-4?osq=Restaurants
Zheng Cafe,https://www.yelp.com/biz/zheng-cafe-seattle-2?osq=Restaurants
Kauai Family Restaurant,https://www.yelp.com/biz/kauai-family-restaurant-seattle?osq=Restaurants
RockCreek Seafood & Spirits,https://www.yelp.com/biz/rockcreek-seafood-and-spirits-seattle?osq=Restaurants
Le Panier French Bakery,https://www.yelp.com/biz/le-panier-french-bakery-seattle?osq=Restaurants
Dahlia Lounge,https://www.yelp.com/biz/dahlia-lounge-seattle?osq=Restaurants
Copine,https://www.yelp.com/biz/copine-seattle?osq=Restaurants
Shaker and Spear,https://www.yelp.com/biz/shaker-and-spear-seattle-2?osq=Restaurants
Kedai Makan,https://www.yelp.com/biz/kedai-makan-seattle-4?osq=Restaurants
Karaage Setsuna,https://www.yelp.com/biz/karaage-setsuna-seattle?osq=Restaurants
Cask & Trotter,https://www.yelp.com/biz/cask-and-trotter-seattle-2?osq=Restaurants
Park Place,https://www.yelp.com/biz/park-place-seattle-3?osq=Restaurants
Meet the Moon,https://www.yelp.com/biz/meet-the-moon-seattle?osq=Restaurants
Beecher’s Handmade Cheese,https://www.yelp.com/biz/beechers-handmade-cheese-seattle?osq=Restaurants
Umma’s Lunch Box,https://www.yelp.com/biz/ummas-lunch-box-seattle?osq=Restaurants
Altura,https://www.yelp.com/biz/altura-seattle?osq=Restaurants
5 Spot,https://www.yelp.com/biz/5-spot-seattle?osq=Restaurants
Black Bottle,https://www.yelp.com/biz/black-bottle-seattle-2?osq=Restaurants
Pestle Rock,https://www.yelp.com/biz/pestle-rock-seattle?osq=Restaurants
Portage Bay Café,https://www.yelp.com/biz/portage-bay-caf%C3%A9-seattle-12?osq=Restaurants
Pomodoro,https://www.yelp.com/biz/pomodoro-seattle?osq=Restaurants
Aglio e Olio,https://www.yelp.com/biz/aglio-e-olio-seattle?osq=Restaurants
Tavolata,https://www.yelp.com/biz/tavolata-seattle?osq=Restaurants
Barolo Ristorante,https://www.yelp.com/biz/barolo-ristorante-seattle?osq=Restaurants
Italian Family Pizza,https://www.yelp.com/biz/italian-family-pizza-seattle?osq=Restaurants
Orfeo,https://www.yelp.com/biz/orfeo-seattle?osq=Restaurants
Intermezzo Carmine,https://www.yelp.com/biz/intermezzo-carmine-seattle-2?osq=Restaurants
Staple & Fancy Mercantile,https://www.yelp.com/biz/staple-and-fancy-mercantile-seattle?osq=Restaurants
Bizzarro Italian Cafe,https://www.yelp.com/biz/bizzarro-italian-cafe-seattle-3?osq=Restaurants
La Rustica,https://www.yelp.com/biz/la-rustica-seattle?osq=Restaurants
The Zouave Restaurant,https://www.yelp.com/biz/the-zouave-restaurant-seattle?osq=Restaurants
Vendemmia,https://www.yelp.com/biz/vendemmia-seattle?osq=Restaurants
Serafina,https://www.yelp.com/biz/serafina-seattle?osq=Restaurants
Bar Del Corso,https://www.yelp.com/biz/bar-del-corso-seattle?osq=Restaurants
Westcity Sardine Kitchen,https://www.yelp.com/biz/westcity-sardine-kitchen-seattle?osq=Restaurants
Ristorante Machiavelli,https://www.yelp.com/biz/ristorante-machiavelli-seattle-2?osq=Restaurants
Dueminuti Healthy Pasta,https://www.yelp.com/biz/dueminuti-healthy-pasta-seattle?osq=Restaurants
Tulio,https://www.yelp.com/biz/tulio-seattle?osq=Restaurants
Joli,https://www.yelp.com/biz/joli-seattle?osq=Restaurants
Il Terrazzo Carmine,https://www.yelp.com/biz/il-terrazzo-carmine-seattle?osq=Restaurants
Mioposto,https://www.yelp.com/biz/mioposto-seattle-7?osq=Restaurants
Pizzeria Credo,https://www.yelp.com/biz/pizzeria-credo-seattle?osq=Restaurants
Vito’s,https://www.yelp.com/biz/vitos-seattle?osq=Restaurants
Bar Cantinetta,https://www.yelp.com/biz/bar-cantinetta-seattle?osq=Restaurants
Che Sara Sara,https://www.yelp.com/biz/che-sara-sara-seattle?osq=Restaurants
Mondello Ristorante Italiano,https://www.yelp.com/biz/mondello-ristorante-italiano-seattle-2?osq=Restaurants
Raccolto,https://www.yelp.com/biz/raccolto-seattle?osq=Restaurants
Mioposto - Bryant,https://www.yelp.com/biz/mioposto-bryant-seattle?osq=Restaurants
LoPriore Bros Pasta Bar,https://www.yelp.com/biz/lopriore-bros-pasta-bar-seattle?osq=Restaurants
Pizzeria Pulcinella,https://www.yelp.com/biz/pizzeria-pulcinella-seattle-2?osq=Restaurants
Tavolàta,https://www.yelp.com/biz/tavol%C3%A0ta-seattle-5?osq=Restaurants
Tutta Bella Neapolitan Pizzeria - Columbia City,https://www.yelp.com/biz/tutta-bella-neapolitan-pizzeria-columbia-city-seattle?osq=Restaurants
San Fermo,https://www.yelp.com/biz/san-fermo-seattle?osq=Restaurants
Radici,https://www.yelp.com/biz/radici-seattle?osq=Restaurants
Tutta Bella Neapolitan Pizzeria - Wallingford,https://www.yelp.com/biz/tutta-bella-neapolitan-pizzeria-wallingford-seattle?osq=Restaurants
That’s Amore! Italian Cafe,https://www.yelp.com/biz/thats-amore-italian-cafe-seattle?osq=Restaurants
Ada’s Restaurant & Bar,https://www.yelp.com/biz/adas-restaurant-and-bar-seattle?osq=Restaurants
Bar Cotto,https://www.yelp.com/biz/bar-cotto-seattle?osq=Restaurants
The Independent Pizzeria,https://www.yelp.com/biz/the-independent-pizzeria-seattle-2?osq=Restaurants
Holy Cannoli,https://www.yelp.com/biz/holy-cannoli-seattle?osq=Restaurants
Little Lago,https://www.yelp.com/biz/little-lago-seattle?osq=Restaurants
Cantinetta,https://www.yelp.com/biz/cantinetta-seattle?osq=Restaurants
Pizzuto’s,https://www.yelp.com/biz/pizzutos-seattle?osq=Restaurants
Cinque Terre Ristorante,https://www.yelp.com/biz/cinque-terre-ristorante-seattle?osq=Restaurants
Daddy G’s,https://www.yelp.com/biz/daddy-gs-seattle-2?osq=Restaurants
Saltoro,https://www.yelp.com/biz/saltoro-seattle?osq=Restaurants
La Fontana Siciliana,https://www.yelp.com/biz/la-fontana-siciliana-seattle?osq=Restaurants
Via Tribunali,https://www.yelp.com/biz/via-tribunali-seattle-5?osq=Restaurants
La Medusa,https://www.yelp.com/biz/la-medusa-seattle?osq=Restaurants
Brunello Ristorante,https://www.yelp.com/biz/brunello-ristorante-seattle?osq=Restaurants
Princi,https://www.yelp.com/biz/princi-seattle-5?osq=Restaurants
Pasta Bella,https://www.yelp.com/biz/pasta-bella-seattle?osq=Restaurants
Cafe Lago,https://www.yelp.com/biz/cafe-lago-seattle?osq=Restaurants
Artusi,https://www.yelp.com/biz/artusi-seattle?osq=Restaurants
Tutta Bella Neapolitan Pizzeria - South Lake Union,https://www.yelp.com/biz/tutta-bella-neapolitan-pizzeria-south-lake-union-seattle?osq=Restaurants
Perché No Pasta & Vino,https://www.yelp.com/biz/perch%C3%A9-no-pasta-and-vino-seattle-4?osq=Restaurants
Stellar Pizza & Ale,https://www.yelp.com/biz/stellar-pizza-and-ale-seattle?osq=Restaurants
Ristorante Picolinos,https://www.yelp.com/biz/ristorante-picolinos-seattle?osq=Restaurants
Pizzeria 88,https://www.yelp.com/biz/pizzeria-88-seattle?osq=Restaurants
Via Tribunali - Capitol Hill,https://www.yelp.com/biz/via-tribunali-capitol-hill-seattle?osq=Restaurants
Cafe Bengodi,https://www.yelp.com/biz/cafe-bengodi-seattle-4?osq=Restaurants
Luigi’s Italian Eatery,https://www.yelp.com/biz/luigis-italian-eatery-seattle-2?osq=Restaurants
Mamma Melina Ristorante + Pizzeria,https://www.yelp.com/biz/mamma-melina-ristorante-pizzeria-seattle?osq=Restaurants
Napoli Pizzeria,https://www.yelp.com/biz/napoli-pizzeria-seattle?osq=Restaurants
Piatti,https://www.yelp.com/biz/piatti-seattle?osq=Restaurants
SODO Deli,https://www.yelp.com/biz/sodo-deli-seattle?osq=Restaurants
Pasta & Co,https://www.yelp.com/biz/pasta-and-co-seattle-3?osq=Restaurants
IL Bistro,https://www.yelp.com/biz/il-bistro-seattle?osq=Restaurants
Pizzeria 22,https://www.yelp.com/biz/pizzeria-22-seattle?osq=Restaurants
Cornuto Pizzeria,https://www.yelp.com/biz/cornuto-pizzeria-seattle?osq=Restaurants
Salvatore Ristorante,https://www.yelp.com/biz/salvatore-ristorante-seattle?osq=Restaurants
Pegasus Pizza,https://www.yelp.com/biz/pegasus-pizza-seattle?osq=Restaurants
Palermo-Ballard,https://www.yelp.com/biz/palermo-ballard-seattle?osq=Restaurants
Il Fornaio,https://www.yelp.com/biz/il-fornaio-seattle?osq=Restaurants
Patxi’s Pizza,https://www.yelp.com/biz/patxis-pizza-seattle?osq=Restaurants
Veraci Pizza,https://www.yelp.com/biz/veraci-pizza-seattle-3?osq=Restaurants
Cuoco,https://www.yelp.com/biz/cuoco-seattle?osq=Restaurants
Modena Pizza & Pasta,https://www.yelp.com/biz/modena-pizza-and-pasta-seattle?osq=Restaurants
Zaccagni’s,https://www.yelp.com/biz/zaccagnis-seattle-2?osq=Restaurants
La Vita E Bella,https://www.yelp.com/biz/la-vita-e-bella-seattle-7?osq=Restaurants
Varlamos Pizzeria,https://www.yelp.com/biz/varlamos-pizzeria-seattle?osq=Restaurants
Agrodolce,https://www.yelp.com/biz/agrodolce-seattle?osq=Restaurants
Volterra,https://www.yelp.com/biz/volterra-seattle?osq=Restaurants
Olympic Pizza & Pasta,https://www.yelp.com/biz/olympic-pizza-and-pasta-seattle?osq=Restaurants
Via Rosa 11,https://www.yelp.com/biz/via-rosa-11-bainbridge-island?osq=Restaurants
Osteria la Spiga,https://www.yelp.com/biz/osteria-la-spiga-seattle?osq=Restaurants
Mama Stortini’s Restaurant and Bar - Seattle,https://www.yelp.com/biz/mama-stortinis-restaurant-and-bar-seattle-seattle?osq=Restaurants
