review,attributes
"Ok if I had gotten better service i would have possible given them at least 3 or 4 stars, however the service was horrendous! We asked for a table outside on a Saturday afternoon, and luckily we didn't have to wait to long!!! After they seated us outside it took almost 30 minutes for our waiter to come out to see if we'd like something to drink. •_We ordered a glass of wine and water with ice. •_10 mins later the waiter comes back to take our order without the wine and without the water. •_Again I asked for some water with ice and she said she'd bring out right away. •_She took our order which included a salad. •_We ordered the meatballs, the steak skewers and a pizza. •_I wasn't feeling what was included with the steak skewers and the waiter offered to add some grilled brussels sprouts instead. •_About 15 mins later the meatballs came out and still no wine or water WITH ICE. •_Then about 10 mins later my steak skewers came out. •_I asked the server to please bring me some pepper, and he said he would, and I asked for some water WITH ICE. •_Finally about an hour after we sat down the wine came out, and she brought a bottle of tap water with glasses and NO ICE! I asked again for ice and our waiter said she'd bring it out. •_Another 10 mins go by and the pizza comes out and the brussels sprouts but still no ice or my pepper. •_By this time my steak is now cold, so I stood up and went over to the kitchen and grabbed some pepper myself. •_We were sitting outside and right inside the window next to us was the bartender so I got his attention and asked him for a glass of ice which he happily gave me. •_15 mins later the waiter comes by because we waived her down the first chance we could get, to asked what happened to the salad which we told her we were expecting first before our meals, and she responded, ""In Italy they eat their salad last"" WTH? We aren't in Italy!! We are in the US and we like our salads before our entrees. •_So she finally brings the salad out. •_ When the bill finally arrived, I was shocked to see she charged us for the brussels sprouts which she would give me instead, and for the salad which clearly she forgot. •_The food was pretty good but it was overshadowed by the terrible service we received.","service ,wine,water,meatball,skewer,sprout,bartender,salad"
"A little bit of a wait but let me tell u.. they serve the best wings ever. I had the wet version of the wings which are coated in the sticky sauce yet the wings manage to stay crunchy. It tasted like a mixture of fish sauce and a caramel sauce. We also got an eggplant dish which was just as good, a sweet and sour soup, and the black bean noodles. I wasn't really a fan of the noodles. It was raved upon yelp but I've had better black bean noodles. I would come back here just for the wings! They offer a dry version too which I would like to try.","wing,eggplant,soup,noodles"
Gave this place another try. It's bomb. I definitely caught them on a bad night and am happy to amend my old review. As good as any pizza place in the city...outside of Tonys that is,pizza
"Wow! The SO surprised me by making reservations here the other night and wouldn't tell me where we were going while on the drive into the city. Finally arrived here and was lucky to find parking! Located along Columbus is The Stinking Rose, a restaurant that boasts that they season their garlic with food. Nice! The SO had heard about it on FB from one of his friends who said it was one of her favorite places to eat. Little did I know, the SO had planned to take me there for my birthday! So sweet *heart eyes emoji*We were seated quickly thanks to the reservation and were set to order since he's been Yelping a ton and knew what he wanted. We ordered: Bagna calda aka garlic soaking in a hot tub of olive oilBraised short rib for himSpicy shrimp fettuccine for meOmg the garlic cloves in the tub were so melt-in-your-mouth. We ate the whole thing and immediately feared any close social interaction we would have for the next week. My entree was aight, I wish I had gotten something garlicky-er? His dish was awesome tho, short ribs were tender and pulled apart so easily. Service was also very nice. All the guys who helped serve us during our meal was attentive, kind, courteous, etc. The best part of the meal was when we ordered a thing of garlic ice cream. Lo and behold another surprise from SO as one of the guys puts down a slice of cake in front of me with ""25"" candles he was probably carrying in his pocket all day, and says to me, ""Happy stinkin' birthday!"" *heart eyes emoji intensifies*The cake and the ice cream were delicious. The ice cream came in a huge bowl and the scoop was as big as both my fists. Some patrons next to us even saw what we ordered and got themselves one too! In the end, I had a great experience at the Stinking Rose and hope to be able to come here again! Well, maybe when my garlic farts subside..","parking,reservation,rib,shrimp,fettuccine,clove,service,ice cream"
"Great neighborhood Italian bistro with excellent food, cozy ambiance and attentive service - will definitely return.Burrata with prosciutto and arugula - 5 stars: creamy, fresh, simply outstandingSpinach salad - 3 stars: pretty standardSeabass ravioli with lobster reduction - 5 stars: innovative pairing and cooked perfectly al dente with little chunks of lobster in a light and flavorful sauceSeafood mixed grill - 4 stars: generous portions of grilled swordfish, salmon, prawns, veggies; very good","food,ambiance,service,burrata,salad,seabass,ravioli,lobster,seafood,swordfish,salmon,prawns,veggies"
"Fantastic, and this is coming from a person from Philly, which has some of the best Italian in the country. Gnocchi was great, setting was good, desserts were awesome. And they don't rush you. Great spot!","gnocchi,dessert,setting,spot"
Portions were huge and food was really tasty. •_Only thing that was somewhat disappointing was the guacamole.,"food,guacamole"
"Americano aka Americougar This is usually our 2nd stop for our progressive happy hour. Americano doesn't have any happy hour specials, so we visit Palomino's for the drinks and food. After we're full and buzzed, the boys like to stroll down to Americano to go cougar-hunting. They have a nice patio, but its usually super packed if the weather is nice. Everyone's dressed to impress, but so far, I haven't seen anything that impressed me. Too bad their drinks are super expensive. Now, I've never actually purchased a drink here, but from what I've been told, they start off around $12 for a Hangar","patio,drink"
"This is definitely the 5 star of Chinese food take out. •_The food isn't overly greasy or salty and the health score is 94 out of 100 (huge for chinese restaurant).The egg rolls and hot and sour soup are good, standard fair. •_The pot stickers and crab rangoons are very tasty. •_A few people commented about the thick skin on the pot sticker. •_Yes, it's on the thicker side but I thought it was good for soaking up the sauces and enjoyed the doughy texture. •_Guess it's a matter of preference.I had the mongolian beef, 5 taste chicken, beef chow fun, all were excellent and I highly recommend. •_The mongolian beef was tender, nicely seasoned, and not greasy. •_The 5 taste chicken was so tasty. •_The chicken is perfectly crispy from a very lightly flour","food,roll,soup,crab,pot sticker,beef,chicken,"
"I've been here 3 times in 3 years, and I've never been disappointed by either the food or the service. •_ Yesterday my son and I a light lunch - Prawn","food,service"
"terrible service, hair in my food, overpriced and food has no flavor. don't waste your time, take my word for this one.","service,food"
"Words cannot truly express how horrid the meal was...Mongolian Beef, how can you mess it up? Hmm make a cornstarch based sauce, add bell peppers and carrots and too much sugar... Don't add any green onion, or flash fried dry rice noodles, not nearly the right ratio of yellow onion or garlic. It was a hot mess and it sent it right back. My daughter's combination wonton soup came out first and she was practically done before I get t my meal... There was no order to when things came out, several people were waiting...and waiting...I should have followed my instincts and walked out. I ate a cold soggy appetizer that was supposed to be the house specialty... Guess what, the Mongolian beef was listed as the house specialty too...","beef,soup,apprtizer"
Good place for California cuisine at lunch time for financial district area. •_Good serving portion and prices.,"cuisine,area,price,portion"
"I was pleased with my take out order from here. I was looking for ""Americanized"" Chinese food. If you are looking for ""authentic"" you should stop reading and look somewhere else.We ordered pork potstickers, sesame chicken, lo mein, and crab rangoons. All were good except the crab rangoons (does anyone have a good crab rangoon place by the way? I still can't find ones I really like!) Anyways, I loved loved loved the sesame chicken. I always order general tso's and it was nice to try something different and have it be just as satisfying.I thought price and delivery time were reasonable and it was easy to place the order through Yelp/Eat24.Would order takeout from here again.","order,food,pot sticker,chicken,crab,delivery"
Yummy yummy is one of my favorite pho places in SF. I would have to say that the pho at this place is almost identical to my Mom's homemade pho. Even when I brought my mom here to try their food she even said the same thing. Which is now one of her favorite places to come to in SF when she is looking for something soupy. Another reason why I love coming here is that it a small pho place run by a family. The staff here is very consistent and every time I come get fast and friendly service. The owner here is super extra friendly and welcoming. He loves to interact with his customers which is a plus because where would you every get something like that. The only con about this place would be that it is very hard to find parking when it is crowded so be prepared for that. Overall if your ever in town and your craving something warm and soupy you should head over to yummy yummy!!!,"service,owner,parking"
"Lady who does our facials recommended this place which was nearby. It was a warm day and my sister wanted Chinese style cold noodles. Restaurant supposed to be authentic Beijing style and Yao Ming known to frequent. Everything was pretty good. We ordered Beijing Cold Noodles, fresh hand-pulled noodles with just the right amount of chew to it served with julienned cucumbers in a sauce of chili oil, sweet soy, ground sesame sauce, and chopped fresh garlic. This dish was clean and simple. Many other places will add bits of meat or gunk into the sauce which takes away from the refreshing nature of cold noodles. This is the best cold noodle I have had. We also ordered the General's Chicken Wings which were lightly battered, crispy wings in a sweet and spicy sauce. Yum! We also had the beef pancake which was pretty good. To start, we had the spicy tripe and Hot and Sour Cucumbers. The spicy tripe looked bathed in chili oil, but the taste was off because it tasted like black peppercorns. The cucumbers were really good and were marinated in soy, vinegar, and chili oil. This vinaigrette went well with the tripe and as a dipping sauce for the beef pancake. We definitely will be back, but because of its location on Alemany just off of Mission, we won't be back until the next facial. If you are in the area and looking for Northern Style Chinese food like noodles or dumplings, you have to try this place. They also have a variety of other meat and veggies entrees.","noodle,chicken wing, pancake,beef,cucumber,trip,vimaigrette,dumpling,meat,veggies"
"5 Stars because I cant think of anything bad about this place. Other than they dont serve alcohol (but I dont really drink so thats okay with me).Great frescas -I got the watermelon one (so refreshing!)Fresh and tasty salsa - we added green chile sauce for a nice kick Tasty appetizers - we got the platter assortmentYummy flavorful entrees - I got the prawns. Came with rice, sautê©ed veggies and black beans. So much food!!Great dinner at a new hidden gem discovered.I'll be back!","frescas,salsa,appetizer,prawn,rice,veggies,beans"
"I guess if you view it as a sport bar, it serves its purpose. But if you judge it based on the fact that it's a mexican restaurant then I would say it's ok - I've had better. However, in comparison to the other mexican restuarants that have recently sprung up in this area, I would say its one of the better ones to go to. So if you are in the SOMA area and wanted mexican food I would recommend this place next to (res agaves tacos - otherwise there are other better reatuarants in the area.",mexican food
"I've been to Mama's only twice. •_If you're going to brave the line, you better be in a brunch and waiting mood. •_My husband and I moseyed on over at 10 am and waited for 2 hours, which is pretty standard for Mama's. •_So do not go on a fully empty stomach because you will regret it, give up, and feel hangry. •_But if you do survive the 2 hours of looking inside wistfully like the little match girl, you will feel quite accomplished just to place an order and settle down.The French toast sampler and crab benedict were pretty good. •_I highly recommend the peach bellini. •_Not knowing when we'd be back (the stars have to align: mood for brunch and willingness to wait 2 hours), we took a slice of carrot cake to go. •_The guy in charge of the line grinned very warmly, as if he approved: ""You will not regret it, my friends."" •_And we did not. •_Surprisingly, the carrot cake was the best part the second time we went to Mamas. •_You know they made it from scratch that morning. •_The frosting was unreal -- even though the butter was real. •_The sugar was real. •_I'm sitting back right now, just thinking of that slice of cake...","toast,crab,billini,cake"
talian Restaurant|,
"And our eating tour of San Francisco concludes with some of the best pizza around. Tiny spot in North Beach, sort of a metal vibe and shit for seating, but nice folks and killer pie. Try the Clam and Garlic, and anything with sausage and pepperoni! Great squares, they get focaccia dough right. Solid beer selection too.","pizza,spot,seating,pie,folks,clam,garlic,sausage,pepperoni,beer,focaccia,square"
"Came here for dinner to celebrate the first day of the new year.Based on reviews, I knew this place will look nothing at all from the outside. •_Tucked between a liquor store and a gas station, it's easy to miss. •_But lucky me, we even got parking right in front of it. •_Place is small but has very nice setting, good relaxed ambiance, soft lighting, perfect for dates. •_Maybe if they added music similar to what they are playing at their website, it will add more to the romantic vibe they seem to be going for. Nonetheless, the quiet atmosphere was okay and this place is great for groups and families.We got a glass of wine each. •_I was excited there for a minute because they had Opus One. •_ But only by the bottle so I got a cab instead. •_We started off with the Spinacina. •_Although not a bad choice for a starter, there really was nothing exciting about this dish. •_I got the the stewed rabbit with polenta. •_Wow! •_As in, this won high marks with me. •_Tender meat, great heavy sauce, good balance with the side of vegetables and the polenta. •_My friend got the salmon fillet in saffron sauce and it was enjoyed plenty.My dish was a really good portion, I was so full, but I refuse to not have dessert. •_It's the best part of the meal after all. •_So to finish off the meal I got the puff pastry topped with whipped cream and chocolate sauce. •_I would have preferred this warmer but it still made me excited, just watch me take spoonfuls of it. •_5 stars for customer service. •_From my phone call to make reservations to the entire dining experience.The meal for two totaled $100 with tip. •_I will definitely recommend this place.","parking,atmosphere,wine,spinacina,rabbit,fillet,portion,dessert,service"
"Had to try the cioppino - wonderful. •_Two of us (two hungry adult males!) split the dish - plenty for both of us. •_Nice glass of wine, very tasty bread and great service (fast and friendly). We went for early lunch - a few locals were there - by the time we left, mostly tourist crowd.","cioppino,wine,bread,service"
best shumai in town. Super meaty and juicy.If your just to-going some dim sum or stoppin by for a quick bite then this is the place.Add a vitasoy to complete your meal,"dimsum,vitasoy,shumai"
"There is simply nothing to report about Tia Margarita that hasn't been said in any previous review.As someone else mentioned, the food isn't terrible, it's just not worth traveling across town for.Special note for the kitchen: Back off the salt!","food,kitchen,salt"
Yummy food.. I had the vegetarian potato dish with mushroom •_and tomato sauce ... Literally ate the whole dish and wanted seconds.. Worth it,"potato,mushroom"
"This place is about 8 minutes walking distance from my work, hence the frequent visits!They HAVE Huge portions! My favorite is the the quesadilla ( both steak and chicken). It is super flavorful, flour tortilla was super crispy, and they put the sour cream, guacamole, and tomatoes on the side which is EXCELLENT. Prices are really affordable for such great quality.I love how they provide you free chips and they have a variety of sauces for you. I love the most upper left sauce because it taste like watermelon:p.","portion,quesadilla,tortilla,price,sauce,chips"
"I used to order house meat pizza and spaghetti with meat sauce.Recently I discovered their turkey sandwich with avocado and cheese, so yummy, the French roll is crispy outside and perfectly soft inside. I can't live a whole week without one now.Fettuccine with baby clams are also good. •_Sautê©ed mushrooms are the same mushrooms in their grilled burger but only 5 dollars for a medium large bowl of them.Fast delivery too.","pizza,spaghetti,sauce,sandwich,roll,clam,mushroom,burger,dellivery"
"I love this place and I have been going here for years. Super hot salsa, well seasoned carne asada, chips are crispy and their drinks are strong. Excellent selection of beer too. I LOVE the decor! Very lively and down to earth atmosphere. It's well worth the wait. El Toreador has a soul and character that stretches back for generations. To the good folks at El Toreador, if you are reading this, don't change a thing and keep up the good work!","salsa,asada,chips,drink,beer,d_cor,atmosphere,folk"
"Got here on saturday noon after our routine weekend workout. Tables were filled but some were still available. The waitstaff who took our order and delivered the food were nice and smile to us. Food were awesome. We tried no 27 thin egg noodle with shredded chicken, no 4 thin egg noodle with braised duck leg and fried fish cake. The fish cake were just good, not great. I love the noodle since it reminded me a lot with the indonesian noodle back home. Very tasty. Put some more pepper, chili oil and soy sauce to make it bolder in taste. When our drinks arrived, the server just put it on our table and left without any smile or word. Surprisingly, the sour plum juice that we ordered was smashed chunks of sour plum with sparkling water. Well, i'm not expecting a sparkling water to be juice. Note that there's no explanation on the drink section. But it wasn't bad, so i don't bother to give a complaint. Too bad the server who gave us our drink and check (the same person), just put our check without saying anything, not even seeing us. She was so friendly communicating with the next table guest. I guess we need to be able to speak vietnamese or chinese to get her attention. Will give them 5 star if not because of the sour plum 'juice' and her.","waitstaff,noodle,chicken,duck,fish,cake,juice,plum"
"Love this place. Great for dinner. Lively, warm, and attentive atmosphere. Authentic Italian.",atmosphere
"I pass by Flour + Water on my walks home, always thinking to myself ""I should eat dinner here."" I finally cracked down and made a reservation for three, a few weeks in advance. They were kind enough to wait to seat us, even though I arrived 15 minutes late, due to SOMA traffic.I don't know any Italian--not even food Italian--and I think the waitress picked up on it, because she offered to explain everything on the menu. She even obliged my lactose intolerance (one wonders what I was doing coming to an Italian restaurant in the first place, if I can't eat dairy), and suggested that I tried the rabbit. It was delicious.My friends both ordered pasta, and from the few bites I tried, it was great. Very robust and fresh tasting. It's great that their menu changes every day, but I guess that's an expectation for a place where the size and cost of dish are inversely proportional. Overall, a lovely evening.Strange bonus: the bathroom is really pretty.","waitress,rabbit,pasta,bathroom "
"Had a craving for a porchetta sandwich so called in a couple sandwich boxes to go from their takeout menu. Ready in 10, you can save time by going strait to the bar to pickup and pay instead of their hostess. Basically, if you do not know about Porchetta, you don't know shit. •_For $11 the porchetta came with a warm arugula/fennel side salad and some pickled vegetables (celery, cucumber, etc). The flavor on the pickled items was intense like biting into a lemon type of way. The porchetta was pretty good, I'm a fan - 4 stars. Thick slices of tender and savory roasted pork wrapped in a foccacia like roll. I would have liked a little more texture and bite to the roll's crust since it was soft all around. The sweetness from the peach and red onion offset the arugula. I found myself missing the crunch from the pork skin and herb flavor from Roli Roti's version though. (yelp.com/biz_photos/Wd5h_Ü_)Barbacco's better sandwich imo is their roasted lamb - 4.5 stars. Tender lamb shoulder with garlic confit, mustard greens and fennel. The lamb had intense lamb flavor without being excessively gamey. My coworker who isn't a real fan of lamb liked it. Everything worked to create a sandwich I'd come back for. (yelp.com/biz_photos/Wd5h_Ü_)The ipad menu and cool industrial decor would make this spot cool for a date night. 4.5 stars.","sandwich,porchetta,vegetable,pork,roll,lamb,d_cor,spot"
"Almost an entire year ago, the girlfriend",
ar|,
"I was ecstatic at the prospect of dim sum without the hour-long Sunday brunch wait-- but after digging into my $5.99 takeout box, I was less than thrilled. Every single food item was COLD! I got about 8 items in my box. The siu mai and char siu bao were the best items on the menu (good but not the best I've ever had). Definitely cheap and quick so if you're in the area and need a fast meal this is the place. No seating except a tiny table in the back for 4. It's definitely no fancy ambience like Yank Sing, just a small hole in the wall. If the food were hot I'd definitely bump up my review.","dimsum,siu mai,char siu bao,seating,ambience"
"this joint gets a high rating just for the salt and pepper squid. •_i honestly don't remember what anything else tastes like nor do i care cuz i'll go back here again, again and again just for that. •_hooray!",squid
I'm always down for a bowl of fishball noodles - this place does a really good job of it and the coffee shop ambience reminded me of local coffee shops back home in Singapore. Tip: order your noodles dry (it comes with a side of soup) and squirt some of the tomato sauce in and mix them up!,"noodle,ambience,sauce"
"Excellent and courteous waiter that was the bartender that substituted as the waiter last night. Did the Sf Restaurant Week special, apps, tacos,","waiter,bartender,app,tacos"
No seating for 2 people at the Tables yet everyone else had 2 people at a Table. Had to sit at Counter in a supposed upscale restaurant,seating
Good quality food for a good price. •_This restaurant does an incredible take out business. •_The food is fresh and the restaurant is clean. •_It's a great place to eat,"food,price"
"Food here is very subpar. I had high expectations coming here and it did not satisfy me at all. Seafood cioppino-not too great. I felt like the broth has a lot missing. Maybe more spicy? Not sure what it was but it wasn't too tasty as the one from FOG HARBOR. And for $40 I expected more from the dish. the broth tasted like it was from a can almost. Fried Oysters-pretty good. Presentation was nice but could be a little more juicy. The lemon aioli was super delicious though Clam Chowder -probably the best dish here, it was very creamy and delicious filled with lots of clams. So it's a must order Not sure if I will be coming back here but I had to give it a try.","food,cioppino,broth,oyster,aioli,clam"
ar|,
"We used to order delivery from this place all the time, but they've since stopped offering it. Sad emoticon. Their squid ink pasta had lots of good seafood in it. Their salmon pasta was surprisingly rich and my favorite version. I hope they will open their doors to delivery again!","squid,pasta,seafood,salmon,delivery"
"54 Mint is my favorite Italian place in the city right now. We live next door so I'm embarrassed to say that we've only gotten takeout - always throws them for a loop because they don't really do takeout, but are super friendly about accommodating. The owner is a sweetheart.I used to work at an Italian restaurant and I think the food is pretty fantastic. So much flavor and technique here:The gnocchi w/the meaty sauce and the carbonara are excellent. My absolute favorite thing on the menu is the black kale salad, which they adapt seasonally. The octopus carpaccio is like nothing I've had before - so tender, fresh and light. The clams appetizer is a favorite - delicious sauce w/a bite that prove you don't need loads of salt to create great flavor. I even really enjoyed the perfectly cooked, tender skirt steak, which came with flavorful broccolini and potatoes...and I'm not a red meat person.I'm dying to try the seafood stew and unfortunately they can't do it as as a takeout item...so looks like I'll need to actually sit down here soon and update my review based on the service and experience.","owner,sauce,carbonara,salad,carpaccio,clam,appetizer,steak"
"My sister and I only had the first course meals: Ravioli con Pomodoro and Linguini Alle Vongole. •_The food may come off almost as bland to us Americans, as it did at first to me. •_However, I gradually found my linguini to be flavorful, actually, and very light. •_My sister appreciated her ravioli for its authenticity, as it reminded her of some of the meals she's had in Italy. •_Neither of the meals were not too greasy or ""Americanized,"" and unlike many other restuarant foods that leave me thirsty and tired, I actually came out feeling healthy and happy. •_Our waiter, who probably was the owner or the manager, was very kind and let us dine before the restaurant opened. •_His thick Italian accent and mannerisms matched the decor of the place. •_The place was nicely decorated without giving off a snooty vibe. This restaurant definitely had what I would imagine to be the ambience and the flavors of Italy. •_It is not the cheapest restaurant out there, though, so I would reserve it for a date or a get-together with friends/co-workers. •_I plan on going back and trying a full 4 course meal someday.","ravioli,linguini,waiter,owner,d_cor"
"This place is awesome. Their food is delicious, they are beyond friendly and their flat bread is amazing. It's cheap and quick, not a fancy place but exactly what I was looking for. Matilda is so friendly and shows all her guests a huge smile. Matilda and her co-workers contributed to our amazing experience. Only downside is they don't serve alcohol. If your looking for amazing food in a no frills restaurant, stop on by!","food,bread,alcohol"
"I've been wanting to try this neighborhood place for a while. •_Really cute place. •_Small. Has an up stairs, but downstairs is so nice with the Huge windows. •_You can watch the cable cars! •_It's a cozy restaurant",window
Great place for authentic hotpot. Chatted with the owner Allen. He has spend a lot of time working on the soup recipe. The soup of the hotpot is made from slow cooking a lot of bones,"hotpot,soup,owner"
Great pizza but getting tired of 1-2 hour wait. Told it was 45 mins then got the text in an hour but still faced a 45 min wait until the dudes at our table sipped full beers. Don't text a table is ready if it's not. Kids were miserable after an hour and went next door. Only for the young and childless!,pizza
"It's a little far from where we stayed in union square, but we are so glad we found this hidden gem thanks to a google search!! I can't believe this place isn't packed right now! The atmosphere is awesome- the hodgepodge of furniture gives the feel of being at home and the staff is super friendly! We came two nights in a row after other dinner plans fell through! Food is amazing and seriously try a ""Mexican Mule"" cocktail!","atmosphere,furniture,cocktail,staff,food"
"As a lover of thin crust pizza, I must say I was almost converted after eating deep dish at Little Star! Ambiance: typical for most SF restaurants, this place was pretty small and the entryway definitely felt cramped while my group was waiting for a table. That being said, the actual dining area was spaced out well and I never felt cramped! Service: Very friendly staff! LOVE that you can order your deep dish ahead of time while waiting for a table. By the time our first appetizer had come out our deep dish was already on the table! Food: We ordered two appetizers to start- •_the chicken wings and the garlic cheesy bread. Both were pretty standard, nothing too special. The pizza though was delicious! We were able to do half-half and ended up ordering the ""White"" and ""Little Star"". The pizza was well balanced, but the star was the crust - provided great texture in contrast to the cheese! We also ordered the warm brownie to share for dessert, but it was only so-so and I probably wouldn't get it again. Overall, my pizza craving was definitely satisfied and this is a great go-to place if you are a deep dish lover! Would love to come back and try their thin crust!","pizza,ambiance,service,staff,appetizer,chicken wings,bread,brownie,dessert"
Great good! Fast service and awesome salsa bar at lunch time! They offer free chips and whether you eat here or order to go during lunch! The servers are always friendly ad they are quick to clean up a table to make room for new guests! Try the juices: they have fresh watermelon juice and hibiscus. Both •_are light and refreshing without being too sugary! They also have horchata!You've got to try the orange salsa! It's the best one!,"service,salsa,chips,juice,horchata"
discriminatory establishmenthas restrictions on service animals! do not follow laws accordingly. disabled persons beware.,service
"Since my introduction to El Farolito, I come here a lot. And I do mean a lot. Because I live nearby, it's no problem for me to drive by when the hunger pangs call and I feel like eating something really really bad for me at 12-am. I've noticed that since coming here these past few years the quality has gone down a little and I no longer want to finish the other half of my Super Carne Asada Burrito. Instead, I've been getting the Super Carne Asada Tacos instead. Just the right proportions for me and a little lighter than the super burrito. Their salsa bar is awesome, especially the pico di gallo. It has the perfect amount of heat. I love that I can get as much as I want because I use so much it's like I drink the stuff. Speaking of drinks, the Strawberry Aqua Fresca is sooo good. It's the real stuff, cause when you get to the bottom, you get all the seeds and everything.","burrito,tacos,salsa,Fresca"
