,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"I met the owner Kathy, and also her father, Peter, the latter of which started House of Nan King. Great people. I asked for the famous Fried Onion cakes (could describe it as a Chinese version of a quesadilla, but instead of cheese it's scallions and yummy sauces...) and then for a recommendation-filled menu. Told her what we didn't like, and got noodles, fish, chicken, shrimp, short ribs--no bones, don't worry--plate after plate, and then sesame balls for dessert...and we were all (4 adults) satisfied, with drinks, at $140. I should have asked for a soup too! Get reservations, and do the Fang thing. Congrats to Kathy, I'm a huge fan!",recommendation,plate,noodles,menu,fish,cheese,yummy,sesame,dessert,soup,shrimp,fan,people,chicken,owner,quesadilla,drinks,cakes,,,,,,,,,,
"Worst customer service in the world! All the servers have major attitude and one actually CUT US OFF mid sentence when we were requesting her to help cut a dim sum dish (which is standard practice). To top it off, the food was terrible, greasy, and flavorless AND they auto-charge 15% gratuity LOL we actually laughed in the waiter's face. Plenty of other dim sum establishments where I'd rather spend my money than this place. Don't be fooled by Obama's visit!",customer,world,food,waiter,place,standard,service,money,charge,face,dish,,,,,,,,,,,,,,,,,
"We ordered 1 pound of geoduck sashimi and received 10 paper thin slices on ice that weighed 3-4 ounces. The taste was was fine but bland without ginger, wasabi or any other accoutrements . We were shocked at the tiny portion size but did not complain until the bill came for $50 including tax for one dish. When I asked about price I was told we ordered 1.5 pounds, not 1 pound at market price of $30/pound. I am open to the idea that the new immigrant waitress misunderstand our order but that would not explain the miniscule portion. I have dined out thousands of times, but this is the first I left no tip.",idea,order,paper,price,size,bill,taste,sashimi,dish,waitress,tip,portion,,,,,,,,,,,,,,,,
"Not sure if I would recommend this one for families with young children because it's in kind of a sketchy part of the neighborhood, but once you get in the restaurant it's fine for the young ones. Many of the reviews on here describe having a bit of a wait, which I also experienced (about 15 to 20 minutes so not too bad). And the food was certainly worth the wait, as a local woman kindly told me on my way in! Overall I'd say it was a great place for dinner :)",food,dinner,place,children,neighborhood,restaurant,wait,,,,,,,,,,,,,,,,,,,,,
"The best part of eating here was the red salsa that came with the chips. Extremely tasty and delightful. Other than that, Tia Margarita's was a let down. Our drink orders were taken immediately then for the next 15 minutes...nothing. No drinks, no water, no entree orders, nothing. I finally ordered a combo of chicken tamale and a flauta. While the flauta was decent, the tamale was surprisingly flavorless. Surely not worth $13. Though the lady serving us was very nice, I don't think I'll be coming back here again.",water,salsa,entree,chips,drink,combo,tamale,flauta,chicken,drinks,,,,,,,,,,,,,,,,,,
"this place has been on my list for ages and ages, and since my client is now in the mission, i tried the tea leaf salad for lunch. prices have gone up by $0.25 on every menu item. sooo the salad looks quite sizeable on yelp photos, but in real life it's tiny. i thought i could eat it like an entree - no go - but it was pretty good even in a takeout box with all dressing mixed in. service is basically non existent and the lady taking your order is quite rude... but. i will be back a few more times to try the rice and noodle dishes. not ready to give up on this spot just yet!",place,service,order,rice,menu,entree,tea,takeout,item,spot,list,lunch,noodle,salad,mission,,,,,,,,,,,,,
"After much anticipation, I went to Crystal Jade Jiang Nan for dim sum lunch today. ¥_The place is super nice, but I will not return soon for the following reasons:1) I was expecting this place to be expensive, but everything is over-the-top expensive2) Oolong tea is $7 per person3) a dim sum plate of 3 pieces of shrimp and scallop dumplings is $12.504) fried rice and noodles are not price by plate, but by serving. ¥_$15 per serving of chow fun (that's $60 chow fun for a party of 4)Frankly, I don't mind paying for high prices for food if the food is super good... in this case, it isn't. ¥_Everything I had was good, but no better than the dim sum you can find at Yank Sing or Koi.I am glad I experienced this new place, but there is nothing compelling about it that makes me want to go back. ¥_My next financial dim sum outing will be at Yank Sing.",food,scallop,place,plate,rice,tea,price,dumplings,shrimp,lunch,party,noodles,,,,,,,,,,,,,,,,
"Solid Chinese hole in the wall place at the outer edge of Chinatown. Had the Kung Pao Chicken, and my companion had the chicken with cashews. Both dishes were great, but I would give the edge to chicken and cashews. The fried dumplings were also delicious. I would definitely come here again.",dumplings,place,wall,chicken,,,,,,,,,,,,,,,,,,,,,,,,
Mexican fare for non-Mexicans. San Francisco has lots of fantastic Mexican food and this place is decent and convenient being in Downtown. Good but not special!,food,fare,place,,,,,,,,,,,,,,,,,,,,,,,,,
"Staying in Chinatown, naturally I had a hankering for Chinese. The Hilton recommended this place to me, and boy am I glad they did! The pan fried dumplings were fantastic! I really liked the way they served the wonton soup in a single large serving bowl; enough for my friend and I to split. Finally, the Kung Pao chicken was terrific. The decor is a little dated, but don't let that stop you from coming in.",decor,place,dumplings,wonton,chicken,bowl,soup,friend,,,,,,,,,,,,,,,,,,,,
"Good food, bad service. Which is strange, because the guy was polite enough to other tables. That said, good service is not what we come here for.The walnut prawns are always good. Don't expect authentic Chinese food here. It's American Chinese food, and it's pretty good.",food,walnut,prawns,service,,,,,,,,,,,,,,,,,,,,,,,,
"I *heart* cheese. And they use a lot of it.I also *heart* spicy salsa. And hark, for tis spicy. Unfortunately I do not *heart* tiny margaritas filled with ice and not much else for six dollars. Alas, for other than the above, it was your standard American-Mexican place, that seems to be created for the Fi-Di taste buds.Sighs...so close, yet so far away...",place,standard,salsa,cheese,taste,margaritas,,,,,,,,,,,,,,,,,,,,,,
"The burger was of average taste. Nothing special. The fish tacos were good, price to high for what you get. Atmosphere was good(had a western style vibe). Food over all seems expensive. In my opinion price doesn't match quality of what I ate. Not a bad experience over all.",burger,fish,experience,vibe,price,tacos,taste,quality,opinion,style,,,,,,,,,,,,,,,,,,
"I had the carne asada (steak) burrito and my friend had the pollo (chicken) burrito. They were both fantastic. The rice is extremely flavorful, the meat juicy and delicious, and the beans and sauces combine to create what is probably the best burrito I've ever had (and yes, I've been to La Taqueria). This is now definitely my go to burrito place in SF. The burritos are better than those at La Taqueria, and there is almost no line. All in all you'll have your food in 5 or so minutes. Fantastic place.",food,place,asada,burritos,rice,meat,line,beans,chicken,steak,carne,burrito,friend,,,,,,,,,,,,,,,
"Steak Taco was awesome! Nice chunks of carne and diggin' the radish garnish. Beer Battered (fried fish) Taco was a bigger portion than the Steak Taco, yet nothing about the taste will make me want another. Groovy atmosphere and they have beer.",fish,taste,atmosphere,carne,beer,portion,,,,,,,,,,,,,,,,,,,,,,
jumbo shrimp in hot pepper sauce--not really too spicy but oh so delicioso!!!!!,shrimp,pepper,sauce,,,,,,,,,,,,,,,,,,,,,,,,,
"So I just realized I mistakenly reviewed this location the last time I went to Tacolicious instead of the one I actually visited - which was the Chestnut Street location. Regardless, this location was just as amazing, if not more. I had been craving these tacos for what seemed like ages. I visit SF at least once a year but hadn't been to Tacolicious in about three. My aunt and uncle made it a point to take me here for lunch one day since I had been eagerly awaiting them. These tacos are some of the best tacos I've ever had in my life. And trust me, I've had a lot of them. I'm pretty big on tacos. They probably make up my top food group on my personal pyramid. We went on a random weekday for lunch and opted to sit outside since the weather was nice. They gave us complimentary salsa and chips which we devoured and we loved all the different kind of salsas. We also got an order of the guacamole which was delicious. I ordered the pasion as my drink because I remembered it from three years back at the chestnut street location. Just as delicious. For tacos, I ordered the baja fish and barbacoa taco - which was a special taco on their menu. OH MY GOD, they were just as heavenly as I remembered. The baja fish was perfectly crisp and the barbacoa was so tender and flavorful. I loved these tacos so much. I seriously wish they had Tacolicious in NYC, but it would be seriously detrimental to my healthy diet. I'm truly jealous of all SF dwellers because they have this gem of a place to chow down at. Go here and have a taco for me. I'll be daydreaming about them until my next visit...",taco,food,tender,place,order,fish,salsa,menu,chips,drink,street,gem,tacos,lunch,location,group,weather,guacamole,salsas,,,,,,,,,
"I love the food here but the service can be hit or miss at times and not dependent on the rush (or lack thereof). They are very generous with the chips and salsa and have a great imported beer selection. I highly recommend the mole poblano and the fajitas. Margaritas are decent. The d©cor is really fun and reminiscent of a restaurant in Guadalajara I visited. When the wait is long, you can go next door and have a drink while waiting and they'll come get you. Great neighborhood spot.",food,service,mole,salsa,chips,drink,spot,neighborhood,waiting,restaurant,door,beer,wait,selection,,,,,,,,,,,,,,
"Nice place but the pizza was soggy, the salad was small and tasteless and the glass of wine seemed like a half glass. ¥_I would recommend trying somewhere else.",wine,place,pizza,salad,glass,,,,,,,,,,,,,,,,,,,,,,,
Definite hole in the wall place but so worth it. The food was excellent! Tortilla chips were a little crunchier than I would have liked but still delicious. Guacamole was perfect. Crunchy fish taco was amazing! Huge portions. House margarita was really great too. Great people watching!,taco,food,place,fish,chips,portions,margarita,people,wall,,,,,,,,,,,,,,,,,,,
"3.5 stars.I've been wanting to eat here ever since a coworker and I passed by during a lunch-hour walk. I love the look and openness of Mint Plaza, it makes you feel like you're somewhere other than SF. Last week my gnocci-loving bf and I had lunch here. It was hot and balmy, and there was live music in the plaza, which made outdoor dining even better. He ordered the pre-fixe lunch with lentil soup and gnocci, while I had the carbonara.I found my carbonara a bit too salty (probably from the generous amounts of cheese and guanciale) but the pasta was al dente and perfect. My bf's gnocci was tender and the ragu was tangy. The lentil soup was also very good, with the lentils cooked just so and not mushy.Service was good, but a bit slow. I'd return, but would try something other than the carbonara!",tender,cheese,coworker,lunch,pasta,music,ragu,soup,,,,,,,,,,,,,,,,,,,,
"What an excellent restaurant! The restaurant is nice and has a good ambiance. ¥_On my visit, the restaurant was dimly lit and it created a nice sense of intimacy. ¥_ The service I did not care for. ¥_ If I didn't like the food so much I would have deducted a star or two. ¥_The waiters seemed snooty to the point where it almost made me uncomfortable every time they came to the table. ¥_We did a 3 course meal which was more than enough food for me. What ever you do, do not miss the lobster panzerotti or the foie gras pasta. ¥_ The panzerotti were little pillows of perfection. Beautiful Italian flavors and delicate stunning food. ¥_I loved the food so much I would visit again knowing I would have to overlook the service.",food,star,lobster,service,ambiance,meal,table,pasta,restaurant,perfection,,,,,,,,,,,,,,,,,,
Had the New Yorker. Had to flip a coin to decide on a pie. ¥_ It was great. ¥_Sat outside. ¥_ Incredible weather. ¥_ Awesome pizza.,pie,weather,pizza,,,,,,,,,,,,,,,,,,,,,,,,,
"Very solid dumplings, on din tai fung's level. Short, easy menu. Good pricing. Come here 30 minutes before you plan to actually eat, given the wait time. Try to ignore the waiters, who seem to try and rush you out the door. Will be back!",menu,door,wait,dumplings,,,,,,,,,,,,,,,,,,,,,,,,
We love El Metate's burritos; generously sized,burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The next XLB in the city. We've been to all of the other places (I can't remember their names but I think they have Shanghai in their names). ¥_Dumpling Kitchen xlb's have the thinnest skin and are nice and soupy. Too bad this place is in the outer Richmond, or we'd be here every week!This place has huge portions too.",portions,city,place,skin,,,,,,,,,,,,,,,,,,,,,,,,
As much as I liked Kasa I'm so happy that it's been replaced by Tacko. ¥_It's the perfect post-bar meal and the self-serve water and salsa are fantastic. ¥_It is a bit hard to find seating at times but the carnitas tacos are worth the stress. ¥_(About $5/taco.),taco,bar,meal,water,salsa,carnitas,tacos,seating,,,,,,,,,,,,,,,,,,,,
"Top-notch, inventive Mexican food in the Mission. The small plates are a perfect size, and the quality of the food is great!",food,quality,size,,,,,,,,,,,,,,,,,,,,,,,,,
"Beef pancake , green onion pancakes, porridge , string beans . My goto place for takeout .",place,pancake,onion,takeout,beans,porridge,,,,,,,,,,,,,,,,,,,,,,
"We have been going for decades, not just years. ¥_It is our favorite Chinese Seafood Restaurant in CA. ¥_There Salted Backed Crab is a total winner, with a touch of class, a finger bowl to clean up with when your done.There pea green sprouts are the perfect compliment. ¥_Likewise, there clams and their lobster.It may be charmingly funky, but consistently good and considering how overpriced many of the restaurants are around Union Square, this is a port in the storm for business travelers. ¥_It has impressed our colleagues from Italy to Greece, with the great seafood. ¥_It's not flashy, but the food is fabulous!",lobster,business,food,sprouts,pea,seafood,bowl,,,,,,,,,,,,,,,,,,,,,
"Gracias Madre was so friggin delicious, and that's being said despite the fact that everything here is vegan! Note: I myself am not a vegan and this was one of the first vegan restaurants I've been too. Needless to say--I was pleasantly surprised. I came here at noon with a friend today (a Thursday). We got seated immediately (no crazy lunch line woohoo) and it was pretty empty inside. I ordered the Bowl Dos, my friend got the Bowl Uno, and we split the Gorditas appetizer (fried potato thingy).The appetizer was crunchy and chewy, and not super amazing but the salsas they serve there (the red one!!) with it made it way more flavorful and tasty. The Bowl dos was SO delicious and satisfying with so much depth from the beans and creamy sauces and also brightness and a kick from the spicy salsa with pineapple (the pineapple in the salsa really gave the dish a nice sweetness/acidity and balanced out all of the flavors). There was so much going on, with the fragrant coconut brown rice, fresh greens on top, savory beans and sauces, etc. etc. I didn't think once ""dangit where's the meat to make this more savory/flavorful/satisfying?"" because it was perfectly delicious without it! My friend's Bowl was not as flavorful as mine (whoops sorry I'm that person who orders the better dish than the other when we ""split it"" heh heh) but had cashew cheese/cream which was savory (but not as delicious as my pineapple salsa heh...).The bill for a bowl and appetizer came out to be around $23/person (for lunch). Kind of super pricey and makes me very very sad, but the fact that this place is vegan and delicious AND filling (a rarity in SF) makes it a little less painful. I give this place 5 stars despite the expensive price because I think everyone should stop by and give vegan food a try! You'll be surprised at how delicious it is, and your body will thank you for making this healthy (ish) choice.",food,place,cashew,salsa,price,meat,line,beans,potato,appetizer,dish,coconut,cream,rice,person,friend,cheese,choice,bill,lunch,salsas,pineapple,greens,bowl,,,,
"Five of us tried Zero Zero while in San Francisco attending a convention. It's convenient to Moscone Center and the neighboring hotels. The Italian menu is eclectic and creative -- not just your spaghetti and marinara sauce. I tried the spaghettoni Amatriciana, which had pancetta, sweet onion, garlic, and a ""spicy"" tomato sauce; however, the sauce wasn't that spicy to my palate. The dessert menu includes homemade soft serve with various toppings, which bumps my rating from three to four stars. The service from our waitperson was good, even though she was clearly busy with a number of tables. My only complaint, not unique to Zero Zero, is the noise level from the cumulative conversations around us. So if you want a quiet, romantic dinner or need to finalize the very important details of a business deal, this may not be the best choice.",dinner,business,garlic,service,tomato,menu,onion,dessert,choice,homemade,pancetta,sauce,spaghetti,,,,,,,,,,,,,,,
"Tacos and burritos are fine enough but the line and the crowds are not worth it. The owner is super nice and the workers do a very good job of cleaning up around as people leave. However, If I had to do it over again I would have passed on this place.",place,burritos,line,people,owner,,,,,,,,,,,,,,,,,,,,,,,
"LOL I CAN'T BELIEVE IT TOOK ME SO LONG TO WRITE A REVIEW ABOUT THIS PLACE.I'm so done.Here's my story: Back in December, I was getting dinner with a friend here. I got here before my friend did. They seated me in this awkward-ass nook like right behind the check-in counter/host stand or whatever when there is plenty of seating in the center of the restaurant. I'm like lmao ok, that's cool. It's just a seat. (I honestly was just like 'lol', because my friend couldn't find me after she came in, even after I was calling her name. The nook is *that* awkward.) I got the Crispy Egg Noodles with Chicken because a lot of the things on the menu were overpriced for me, but this is also San Francisco, so okay whatever it's fine. The food came. It was ok, nothing special. Chinese food re-styled for mainstream American tastes. Same old, same old. (I honestly enjoyed it still, I'm Panda Express Fan #1 lmao)But here's the kicker. I didn't finish my food. There was just a bit left; not enough for a whole meal, but idk, I paid money for this, so I wanted to take it home. And so the manager or whoever in charge comes over and gives my friend a box, because she had a significantly larger portion left than I did, and didn't give me one. At this point, it's okay I mean - fair assumption that I wouldn't want it.But I wanted it, so I ask for a box. And this lady hella gives me this hella judgmental look and seems super reluctant to give me a box but I insist I want one and she brings one over.And so I'm honestly like WHAT. Are ur boxes made of freaking Tang Dynasty gold? Idgaf if I had one freaking noodle left, I paid for this and if I wanna take it home, I don't deserve dirty looks from you of ANY SORT. Unless your boxes are made of Tang Dynasty gold, which ok. BUT THEY'RE NOT THEY'RE JUST YOUR REGULAR FREAKING CHINESE TAKE OUT BOXES. Bye. Tired of people that judge others for wanting to eat everything they pay for. Tired of people that judge others for not wanting to let good food go to the dumpster over the cost of a freaking Chinese takeout box, or over the effort and labor needed to walk over and pick up a freaking LIGHT AS AIR empty box.Jesus. Get off your high horse plz thank u.",dinner,food,money,meal,menu,check,counter,seat,charge,takeout,manager,home,noodle,people,portion,restaurant,seating,friend,,,,,,,,,,
Stopped by here after Crissy Field and got the margherita! The mozzarella just oozes!! Def Can't go wrong with this classic. So good! I'll def stop by again when in the neighborhood!,mozzarella,neighborhood,margherita,,,,,,,,,,,,,,,,,,,,,,,,,
"PROS: quality food, tasty soup base, many options for dipping sauce, attentive service, good value CONS: very long wait without reservation, condensation on low ceiling from hotpot that drips down on you (ewwww). They really need to do something about this because the ickiness of this is a deal breaker for most people",food,value,service,hotpot,wait,people,reservation,quality,sauce,soup,,,,,,,,,,,,,,,,,,
"Great experience here. I sat at the bar, got great food recommendations from the bartenders and enjoyed a great glass of wine. The meal pacing was really great and the food very solid. I started with the warm house-made ricotta (a dish certainly designed for sharing that I no doubt demolished on my own) and had a fresh pasta dish for my main. I was worried the ricotta + pasta would be a heavy combo, but the pasta was delectably light and fresh. If there was a low-light of the meal, it was dessert (chocolate mousse) - which was still good, just not knock-your-socks-off. A great option worth the investment. Good atmosphere. Nice vibe. Very approachable. Solid food. Definitely worth a visit.",food,wine,chocolate,bar,house,meal,dessert,experience,option,vibe,mousse,combo,ricotta,pasta,atmosphere,dish,glass,,,,,,,,,,,
"Food is fantastic, but the lady at the table next to is with her shoes on the floor and her bare feet on the chair is disgusting. I'mSurprised none of the staff hasn't said something. It's a bit distasteful... About the food! Delicious, fresh and always great! I love their salads... Giant... Filling and they melt in your mouth. Their staff is phenomenal, kind and helpful.",staff,food,table,,,,,,,,,,,,,,,,,,,,,,,,,
"Pizzas are great. ¥_However, there are many more places with better service. ¥_Last few times service has been horrendous. ¥_Then the kicker - we replaced meat on a pizza with vegetables. ¥_They charged us extra for the veggies! ¥_Wha? ¥_ If you can't cater to vegetarians, then why be in SF?",veggies,service,vegetables,meat,pizza,,,,,,,,,,,,,,,,,,,,,,,
"Pros- HUGE burritos- Great fillings- Tortilla was nice and crispy- A lot of carne asadaCons - Cash only - Wasn't a fan of the communal seatingGreat burritos a couple blocks away from 16th+Mission Bart. They're cash only and the line wasn't that long around 6pm on Friday. Friend and I went here after checking out the Nate Silver Burrito Bracket, when Taqueria Cancun ousted El Farolito. But, imo, the carne asada burrito is not as good as El Farolito's. It comes down to the meat and this meat was less flavorful than El Farolito's.",cash,burritos,asada,fan,meat,line,carne,burrito,,,,,,,,,,,,,,,,,,,,
"This place is about 8 minutes walking distance from my work, hence the frequent visits!They HAVE Huge portions! My favorite is the the quesadilla ( both steak and chicken). It is super flavorful, flour tortilla was super crispy, and they put the sour cream, guacamole, and tomatoes on the side which is EXCELLENT. Prices are really affordable for such great quality.I love how they provide you free chips and they have a variety of sauces for you. I love the most upper left sauce because it taste like watermelon:p.",cream,tortilla,place,watermelon,flour,portions,chips,variety,side,sauce,chicken,guacamole,quality,quesadilla,taste,steak,,,,,,,,,,,,
"The food was lovely. We shared a chips dish that had hot sauce on it, and I had Rajas con Crema.However, the service was lacking .... I blame the runners, although the waiter was in charge and should have been on the ball. The waiter didn't note down the diners' seating position so the runner was standing there, asking who got what.At those prices that doesn't fly!!",food,waiter,service,ball,chips,charge,sauce,dish,seating,,,,,,,,,,,,,,,,,,,
Small little place with a huge menu! We waited in line for a good 30-45 minutes before we were able to order/pay/be seated. It was just crowded for brunch but it was well worth the wait! They have really great fresh squeezed juice. I got pancakes with fruits and scrambled eggs and it was all delicious. My husband got their club sandwich with a side of potato salad and it was also really good! Aside from the wait it was a good experience! I'd definitely come back :),sandwich,place,eggs,order,menu,experience,juice,side,line,potato,brunch,salad,wait,,,,,,,,,,,,,,,
"Great place for a late night burrito after a night out in the mission, no frills. ¥_You go in, tell them what you want, get a receipt, and then pay at the register. ¥_I had the carne asada burrito. ¥_It was the perfect fix after a night out, seasoned and not soggy. The guacamole seemed diluted and had tomatoes in it.The salsa bar looked less than desirable, so I skipped that. The bathroom was a hot mess, but with the volume and crazy people coming in on a Saturday night, it's par for the course.",place,asada,bar,receipt,salsa,bathroom,people,guacamole,carne,burrito,mission,,,,,,,,,,,,,,,,,
"Yes they are expensive but boy is it delicious. It's an adaptation of fresh and fast street food but at ferry market price offerings. ¥_Last visit it was $3.50 for a carne asada taco. ¥_It's delicious enough that I eat here everyday when I'm out in San Fran. ¥_I have never had anything close or better to what I have eaten here. ¥_Their soup is good. ¥_The chilaquiles left something to be desired. ¥_Oh, if only I lived closer. ¥_I'm always happy to see the same staff every time I go there! ¥_I can't wait to go back for a taco or two or three.",taco,food,staff,asada,price,street,wait,carne,soup,chilaquiles,,,,,,,,,,,,,,,,,,
My cousin works here and I came to visit. This place ¥_is beautiful. The service is great. And the food is amazing. One thing I recommend is getting reservations because it gets really busy at night. During the day it is not as much. I loved the ceviche and the carnitas. And the caipirinhas are great too!,food,ceviche,place,service,carnitas,,,,,,,,,,,,,,,,,,,,,,,
"Short Version:I like this place. It's got a cool ambiance, very attentive and polite service, good food, and a huge selection of hard liquor. If it was up to me, I'd come by for drinks and a small bite to eat, or light meal before going out to a club. Their entrees are a little pricey for the small portions they give, but you don't really wanna stuff yourself before you go out, do you?Extended Version:Hakka Steamed Dim Sum Platter - 3 stars- You get four different pairs of dumplings. I liked the Chinese Chive Dumpling (3 1/2 stars) the most, then the Black Pepper Duck Dumpling (3 1/2 stars), which tasted a little like they used East Indian spices to make it, the Scallop Shumai (3 stars), and the Har Gau (3 stars)- On the menu, this is meant to be an appetizer, but if you're eating it by yourself, it should be enough to fill you upyelp.com/biz_photos/hakk__Wok-Fry Beef Tenderloin w/ Chinese Celery - 3 1/2 stars- This is my favorite dish here so far, and adding the Chili Oil (3 1/2 stars) made it even better (the Chili Sauce is good too, just not as good as the oil)- Portions were pretty small, but with a side of Steamed Jasmine Rice (3 stars) for $2, and a good portion of Egg and Scallion Fried Rice (3 1/2 stars) for $5, it's more than enough to fill up most people up to 200 lbsyelp.com/biz_photos/hakk__yelp.com/biz_photos/hakk__yelp.com/biz_photos/hakk__Crispy Duck Salad - 3 stars- It's not the kind of salad you expect since there is no lettuce in it, just ""micro-greens"". Tasted decent, and the duck was cooked well, but I still prefer the beef dishBraised Free-Range Chicken w/ Angelica Root - 3 stars- Looked at this and saw a piece of chicken with bone and barely any meat, then other pieces of chicken w/ their skin on it and I didn't expect it to be good, but I was surprised. It's a lot better than it looks, and the chicken skin practically melts in your mouthMisc.- For the first few minutes, I thought someone there was gassy because every few feet smelled like someone may have farted, but later on we figured out that it was just the smell from one of their menu items (don't remember which one though)",food,place,beef,meat,people,chicken,appetizer,dish,oil,meal,side,drinks,ambiance,stuff,liquor,service,menu,lettuce,portions,salad,portion,selection,entrees,Salad,duck,dumplings,greens,skin
